second,Latitude,Longitude
280986993,35.588574,51.2044302
281327101,35.5886444,51.2044401
281686800,35.5887139,51.2044607
281848652,35.588748,51.2044722
282049002,35.5887821,51.204484
282249067,35.588816,51.2044972
282448668,35.5888495,51.2045132
282671579,35.5888818,51.2045316
282848961,35.5889152,51.2045509
283048795,35.5889489,51.2045719
283248778,35.5889816,51.2045936
283472442,35.5890137,51.204618
283648681,35.5890451,51.2046436
283848736,35.5890764,51.2046714
284072018,35.5891068,51.2047011
284271984,35.5891359,51.204731
284448795,35.5891644,51.2047633
284648697,35.5891914,51.2047975
284848590,35.5892182,51.2048322
285048948,35.5892432,51.2048692
285271965,35.5892679,51.2049067
285472400,35.5892918,51.2049461
285689799,35.5893136,51.204988
285871705,35.5893347,51.2050301
286072026,35.5893537,51.205075
286289794,35.5893687,51.2051226
286506994,35.5893821,51.205171
286872494,35.5894052,51.2052675
287072054,35.5894121,51.2053165
287249080,35.5894156,51.2053668
287489668,35.5894202,51.205417
287671809,35.5894231,51.2054661
287871985,35.5894237,51.2055169
288071809,35.589424,51.2055675
288271976,35.5894239,51.2056184
288490079,35.5894247,51.2056697
288648975,35.5894253,51.205721
288871946,35.5894269,51.2057723
289072065,35.5894291,51.2058235
289271763,35.5894319,51.2058748
289490069,35.589432,51.2059264
289672039,35.5894328,51.2059786
289848708,35.5894324,51.2060309
290048739,35.5894292,51.2060838
290271799,35.589423,51.2061373
290490068,35.5894132,51.2061896
290690049,35.5893995,51.2062407
290890199,35.5893854,51.2062908
291090171,35.5893703,51.2063404
291448790,35.5893378,51.206439
291671771,35.5893213,51.2064882
291871972,35.5893047,51.2065371
292071988,35.5892869,51.2065848
292272034,35.5892675,51.2066323
292472076,35.589247,51.2066796
292672038,35.5892233,51.2067246
292871765,35.589199,51.2067685
293072199,35.5891722,51.2068088
293272004,35.5891415,51.2068444
293472463,35.5891087,51.2068756
293648778,35.5890752,51.2069047
293849058,35.5890416,51.2069328
294048767,35.5890078,51.2069605
294227074,35.5889736,51.2069882
294449087,35.5889389,51.207015
294648752,35.5889036,51.2070417
294875168,35.5888677,51.2070669
295048712,35.5888312,51.2070909
295286814,35.5887943,51.2071134
295448752,35.5887564,51.2071345
295626718,35.5887176,51.2071531
295848905,35.5886784,51.2071703
296048963,35.5886393,51.207186
296248687,35.5885992,51.2071977
296448759,35.5885594,51.2072077
296648621,35.5885192,51.2072173
296826783,35.5884789,51.2072269
297048683,35.5884387,51.2072361
297274862,35.5883981,51.2072437
297448774,35.5883572,51.2072503
297648784,35.5883164,51.2072564
297849620,35.5882755,51.2072616
298048613,35.5882351,51.2072664
298249139,35.5881943,51.2072697
298475187,35.588154,51.2072704
298648729,35.5881143,51.2072673
298849000,35.5880764,51.2072583
299048694,35.5880408,51.2072456
299275052,35.5880088,51.2072283
299448733,35.5879782,51.2072087
299848982,35.5879245,51.207163
300026776,35.5878997,51.2071389
300248632,35.5878756,51.2071146
300448995,35.5878517,51.2070902
300627027,35.5878284,51.2070653
300827087,35.587807,51.2070392
301026810,35.5877886,51.2070105
301226766,35.5877711,51.2069821
301448774,35.5877558,51.2069527
301648689,35.5877444,51.2069211
301848642,35.5877357,51.2068896
302026959,35.5877271,51.206858
302248987,35.5877192,51.2068265
302426778,35.5877115,51.2067947
302648965,35.5877051,51.2067619
302849081,35.5876992,51.2067296
303075015,35.5876929,51.2066968
303248626,35.5876874,51.2066637
303448678,35.5876824,51.2066307
303675006,35.5876776,51.2065972
303827010,35.5876733,51.2065627
304048714,35.5876704,51.2065279
304249139,35.58767,51.2064933
304448784,35.5876721,51.2064585
304675051,35.5876744,51.2064243
304848803,35.5876783,51.2063905
305048687,35.5876828,51.2063563
305248524,35.5876877,51.2063226
305448728,35.5876945,51.206289
305675178,35.5877018,51.2062555
305874993,35.5877096,51.2062227
306048653,35.5877184,51.2061902
306274957,35.5877279,51.2061573
306475014,35.5877374,51.2061249
306648487,35.5877461,51.2060921
306875145,35.587755,51.2060588
307048783,35.5877634,51.2060259
307249190,35.587772,51.205993
